Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,win_x86,win_x86-64,win_x86-64_cmprssptrs,linux_x86,linux_x86-64,linux_x86-64_cmprssptrs,linux_ppc,linux_ppc-64,linux_ppc-64_cmprssptrs,linux_ppc-64_le,linux_ppc-64_cmprssptrs_le,linux_390,linux_390-64,linux_390-64_cmprssptrs,aix_ppc,aix_ppc-64,aix_ppc-64_cmprssptrs,zos_390,zos_390-64,zos_390-64_cmprssptrs,linux_arm,osx_x86-64,osx_x86-64_cmprssptrs,bsd_x86-64_cmprssptrs,sunos_sparcv9-64_cmprssptrs,linux_aarch64,linux_aarch64_cmprssptrs,linux_riscv64,linux_riscv64_cmprssptrs
variation:Mode593,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode594,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode600,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode601,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode603,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode604,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode605,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode606,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode607,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode608,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode609,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,yes
variation:Mode610,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode612,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode613,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode614,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
